Category-en,Category-zh
"Sports Outdoors Outdoor Recreation Skates, Skateboards Scooters Skateboarding Standard Skateboards Longboards Longboards",[{'translation_text': 'zheng 运动户外休滑板滑板滑板滑板滑板标准滑板长板长板长板'}]
Toys Games Learning Education Science Kits Toys,[{'translation_text': 'zhys 玩具 游戏学习教育科学工具包玩具'}]
Toys Games Arts Crafts Craft Kits,[{'translation_text': 'zhys 玩具游戏艺术工艺艺套件'}]
Toys Games Hobbies Models Model Kits Model Kits Airplane Jet Kits,[{'translation_text': 'zheng 玩具 游戏趣味 模型套件 模型套件 飞机飞机套件'}]
Toys Games Puzzles Jigsaw Puzzles,[{'translation_text': 'zheng 玩具游戏拼图拼图'}]
"Clothing, Shoes Jewelry Costumes Accessories Kids Baby Girls Costumes",[{'translation_text': 'zh 衣服鞋珠宝服装配件儿童婴儿女服装'}]
Toys Games Arts Crafts Drawing Painting Supplies Crayons,[{'translation_text': 'zheng 玩具游戏艺术工艺绘画涂料供应'}]
Home Kitchen Home Decor Window Treatments Window Stickers Films Window Films,[{'translation_text': 'zheng 家庭厨房 家装窗口治疗窗口贴片窗口电影'}]
Toys Games Baby Toddler Toys,[{'translation_text': 'zhys 玩具游戏婴儿玩具'}]
"Toys Games Collectible Toys Statues, Bobbleheads Busts Statues",[{'translation_text': 'zheng 游戏收藏玩具雕像'}]
Baby Products Nursery decor Window Treatments Valances,[{'translation_text': 'zh Baby Products 护理室装修窗外科'}]
Toys Games Building Toys Building Sets,[{'translation_text': 'zheng 玩具 游戏建物玩具建物套件'}]
Toys Games Arts Crafts Craft Kits,[{'translation_text': 'zhys 玩具游戏艺术工艺艺套件'}]
Toys Games Baby Toddler Toys Musical Toys,[{'translation_text': 'zhys 玩具 宝宝玩具音乐玩具'}]
Toys Games Learning Education Flash Cards,[{'translation_text': 'zheng 玩具游戏学习教育闪卡'}]
Home Kitchen Furniture Kids' Furniture Tables Chairs Tables,[{'translation_text': 'zh 家庭厨房家具儿童家具桌子椅子桌子'}]
Toys Games Novelty Gag Toys Money Banks,[{'translation_text': 'zheng 玩具游戏新奇之处'}]
Toys Games Baby Toddler Toys Musical Toys,[{'translation_text': 'zhys 玩具 宝宝玩具音乐玩具'}]
Toys Games Sports Outdoor Play Slumber Bags,[{'translation_text': 'zheng 玩具游戏 体育户外播放睡袋'}]
Toys Games Hobbies Hobby Building Tools Hardware RC Linkages,[{'translation_text': 'zheng 玩具游戏趣味趣味建材硬件 RC 链接'}]
Toys Games Building Toys Building Sets,[{'translation_text': 'zheng 玩具 游戏建物玩具建物套件'}]
Toys Games Party Supplies Party Tableware Plates,[{'translation_text': 'zheng 玩具游戏派对外卖派对餐具'}]
Toys Games Baby Toddler Toys Teaching Clocks,[{'translation_text': 'zhys 玩具 儿童玩具教学钟'}]
"Toys Games Tricycles, Scooters Wagons Balance Bikes","[{'translation_text': 'zheng 玩具游戏三轮车,轮轮车车车平衡自行车'}]"
Toys Games Kids' Electronics,[{'translation_text': 'zhys 玩具游戏儿童电子'}]
Home Kitchen Home decor Kids' Room decor,[{'translation_text': 'zheng 家厨房家装儿童房间的装修'}]
Baby Products Nursery decor Wall decor Growth Charts,[{'translation_text': 'zh Baby Products 护理室装修 墙壁装修成长图'}]
Toys Games Puzzles Jigsaw Puzzles,[{'translation_text': 'zheng 玩具游戏拼图拼图'}]
Sports Outdoors Sports Fitness Team Sports,[{'translation_text': 'zheng 运动户外体育健身团队体育'}]
Toys Games Dress Up Pretend Play Costumes,[{'translation_text': 'zheng 玩具游戏穿衣服假装播放服装'}]
Home Kitchen Bedding Kids' Bedding Comforters Sets Comforter Sets,[{'translation_text': 'zh 家庭厨房床单儿童床单舒适器套件舒适器套件'}]
Toys Games Toy Figures Playsets Action Figures,[{'translation_text': 'zheng 玩具游戏玩具图片 玩具行动图片'}]
"Clothing, Shoes Jewelry Costumes Accessories Kids Baby Boys Costumes",[{'translation_text': 'zh 衣服鞋珠宝服装配件儿童婴儿男孩服装'}]
Toys Games Play Vehicles,[{'translation_text': 'zhys 玩具游戏 播放车辆'}]
Toys Games Novelty Gag Toys,[{'translation_text': 'zheng 玩具游戏新奇之处'}]
Toys Games Party Supplies,[{'translation_text': 'zheng 玩具游戏派对用品'}]
Toys Games Party Supplies Banners,[{'translation_text': 'zheng 玩具游戏派对供应标'}]
Toys Games Dolls Accessories Doll Accessories,[{'translation_text': 'zhys 玩具游戏娃娃配件娃娃配件'}]
Toys Games Arts Crafts Craft Kits,[{'translation_text': 'zhys 玩具游戏艺术工艺艺套件'}]
Toys Games Games Accessories,[{'translation_text': 'zhys 玩具游戏配件'}]
Toys Games Hobbies Trains Accessories Train Cars Freight Cars Gondolas,[{'translation_text': 'zhys 玩具 游戏趣味火车配件火车汽车货车汽车甘道拉斯'}]
Home Kitchen Bedding Kids' Bedding Blankets Throws Throws,[{'translation_text': 'zh 家庭厨房床单儿童床单毯子扔掉'}]
Pet Supplies Dogs Training Behavior Aids Agility Equipment Tunnels,[{'translation_text': 'zheng 养狗供应养老器人训练行为辅助道'}]
Toys Games Dolls Accessories Dolls,[{'translation_text': 'zhys 玩具游戏娃娃配件娃娃'}]
